epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,394.91,0.98277,0.97279,0.95092,0.9273,0.96835,0.98185,0.73971,0.88962,1.27386,0.9718,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,407.485,0.98679,0.88612,0.95137,0.92784,0.97652,0.98405,0.73842,0.8865,1.28012,0.96786,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,416.54,0.97057,0.82682,0.92271,0.92784,0.97652,0.98405,0.73842,0.8865,1.28012,0.96786,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,428.894,0.96318,0.85479,0.93849,0.92833,0.98382,0.98573,0.73948,0.89141,1.21776,0.96672,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,438.009,0.96554,0.85735,0.92968,0.92833,0.98382,0.98573,0.73948,0.89141,1.21776,0.96672,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,450.388,0.93516,0.87003,0.9588,0.92801,0.97907,0.98695,0.74112,0.88926,1.10099,0.96396,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,463.029,0.96369,0.78604,0.93799,0.94023,0.97468,0.98851,0.74293,0.88598,0.96124,0.96119,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,471.969,0.93942,0.78183,0.93501,0.94023,0.97468,0.98851,0.74293,0.88598,0.96124,0.96119,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,484.368,0.96822,0.78354,0.92174,0.94576,0.97468,0.98964,0.74338,0.89688,0.88428,0.96284,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,496.886,0.93078,0.78381,0.92761,0.95751,0.97468,0.99034,0.74711,0.90091,0.8146,0.96064,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,506.037,0.98123,0.76894,0.92628,0.95751,0.97468,0.99034,0.74711,0.90091,0.8146,0.96064,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,517.966,0.93551,0.95058,0.98348,0.96259,0.97721,0.99096,0.7526,0.89909,0.76594,0.95811,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,526.614,0.93057,0.9278,0.94854,0.96259,0.97721,0.99096,0.7526,0.89909,0.76594,0.95811,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,538.636,0.94469,0.92635,0.97894,0.96269,0.97978,0.99052,0.74993,0.90139,0.76337,0.9582,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,550.782,0.94588,0.94685,0.94529,0.94538,0.98734,0.9896,0.74874,0.90046,0.76692,0.95771,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,559.527,0.90007,0.87045,0.9502,0.94538,0.98734,0.9896,0.74874,0.90046,0.76692,0.95771,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,571.565,0.90728,0.84427,0.9635,0.9452,0.98734,0.98939,0.74425,0.90109,0.76358,0.95799,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,583.682,0.90629,0.8352,0.9493,0.94526,0.98734,0.98898,0.74653,0.90231,0.76038,0.95803,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,592.404,0.93933,0.91538,0.98782,0.94526,0.98734,0.98898,0.74653,0.90231,0.76038,0.95803,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,604.339,0.89487,0.82294,0.93974,0.9441,0.98734,0.98887,0.74513,0.9024,0.76419,0.9582,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,613.172,0.89491,0.82304,0.96017,0.9441,0.98734,0.98887,0.74513,0.9024,0.76419,0.9582,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
